year,rate
1954,1.008423913
1955,1.78860274
1956,2.729590164
1957,3.105342466
1958,1.572356164
1959,3.310082192
1960,3.211748634
1961,1.949671233
1962,2.71030137
1963,3.178739726
1964,3.496092896
1965,4.076767123
1966,5.114356164
1967,4.216438356
1968,5.661885246
1969,8.21430137
1970,7.17090411
1971,4.667945205
1972,4.437131148
1973,8.742273973
1974,10.51139726
1975,5.821178082
1976,5.045081967
1977,5.54230137
1978,7.936876712
1979,11.20279452
1980,13.34972678
1981,16.38635616
1982,12.23767123
1983,9.090273973
1984,10.22508197
1985,8.099671233
1986,6.799479452
1987,6.660356164
1988,7.571803279
1989,9.21490411
1990,8.096520548
1991,5.685013699
1992,3.521065574
1993,3.021342466
1994,4.206328767
1995,5.83430137
1996,5.300464481
1997,5.461506849
1998,5.350931507
1999,4.972356164
2000,6.237431694
2001,3.878356164
2002,1.666794521
2003,1.126493151
2004,1.350327869
2005,3.217068493
2006,4.965424658
2007,5.017315068
2008,1.924180328
2009,0.15860274
2010,0.176246575
2011,0.101506849
2012,0.14057377
2013,0.107342466
2014,0.088493151
2015,0.133726027
2016,0.393196721
2017,1.002958904
2018,1.834931507
2019,2.403933333
